,S.No,State,Locality,Directions,Assistance,No.of.Slots,lat,long,accuracy
1,1,Alabama,AthensAL Supercharger, 21282 Athens-Limestone Blvd Athens AL, Roadside Assistance: (877) 798-3752,8,34.7854036,-86.942821,establishment
2,2,Alabama,Auburn Alabama Supercharger, 1627 Opelika Road Auburn AL 36830, Roadside Assistance: (877) 798-3752,6,32.6276348,-85.4449751,establishment
3,3,Alabama,Birmingham AL Supercharger, 2221 Richard Arrington Junior Blvd Birmingham AL 35203-1103, Roadside Assistance: (877) 798-3752,8,33.5254609,-86.8086177,establishment
4,4,Alabama,Dothan AL Tesla Supercharger, Dothan AL ,,NA,31.2232313,-85.3904888,locality
5,5,Alabama,Greenville Supercharger, 219 Interstate Drive Greenville AL 36037, Roadside Assistance: (877) 798-3752,6,34.8259138,-82.3069919,establishment
6,6,Alabama,Mobile Supercharger, 3201 Airport Blvd Mobile AL 36606, Roadside Assistance: (877) 798-3752,8,30.6715826,-88.1184304,establishment
7,7,Alabama,Montgomery AL Tesla Supercharger, Montgomery AL ,,NA,32.3668052,-86.2999689,locality
8,8,Alabama,Oxford AL Supercharger, 1105 Oxford Exchange Blvd Oxford AL 36203-0000, Roadside Assistance: (877) 798-3752,12,33.6099716,-85.7820804,establishment
9,9,Alabama,Steele Supercharger, 905 Steele Station Road Steele AL 35987, Roadside Assistance: (877) 798-3752,8,33.9338611,-86.1916401,establishment
10,10,Alabama,Tuscaloosa AL Tesla Supercharger, Tuscaloosa AL ,,NA,33.19411,-87.52775,establishment
11,11,Arizona,Buckeye AZ Supercharger, 416 S Watson Rd Buckeye AZ 85326, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
12,12,Arizona,Casa Grande AZ Supercharger, 2453 E. Florence Blvd. Casa Grande AZ 85194, Roadside Assistance: (877) 798-3752,6,32.8787888,-111.6816825,establishment
13,13,Arizona,Cordes Lakes AZ Supercharger, 14925 Cordes Lakes Rd Mayer AZ 86333, Roadside Assistance: (877) 798-3752,8,34.327476,-112.1184772,establishment
14,14,Arizona,Flagstaff AZ Supercharger, 2650 South Beulah Blvd Flagstaff AZ 86001, Roadside Assistance: (877) 798-3752,12,35.1744434,-111.6629162,establishment
15,15,Arizona,Gila Bend AZ Supercharger, 826 W Pima St. Gila Bend AZ 85337, Roadside Assistance: (877) 798-3752,8,32.9478236,-112.7168305,locality
16,16,Arizona,Globe AZ Tesla Supercharger, Globe AZ ,,NA,NA,NA,NA
17,17,Arizona,Holbrook AZ Supercharger, 2096 Navajo Blvd Holbrook AZ 86025, Roadside Assistance: (877) 798-3752,4,NA,NA,NA
18,18,Arizona,Kayenta AZ Tesla Supercharger, Kayenta AZ ,,NA,NA,NA,NA
19,19,Arizona,Kingman AZ Supercharger, 789 W Beale St Kingman AZ 86401, Roadside Assistance: (877) 798-3752,6,35.1913365,-114.0656212,establishment
20,20,Arizona,Page Supercharger, 600 Clubhouse Drive Page AZ 86040, Roadside Assistance: (877) 798-3752,8,36.924956,-111.468039,establishment
21,21,Arizona,Payson AZ Tesla Supercharger, Payson AZ ,,NA,34.2502789,-111.3218997,establishment
22,22,Arizona,Phoenix AZ Tesla Supercharger, Phoenix AZ ,,NA,NA,NA,NA
23,23,Arizona,Phoenix AZ - Agua Fria Freeway Supercharger, 2805 Agua Fria Fwy Phoenix 85027-3938, Roadside Assistance: (877) 798-3752,16,33.6671296,-112.1208718,establishment
24,24,Arizona,Phoenix AZ - East Camelback Road Supercharger, 2502 East Camelback Road Phoenix 85016-4254, Roadside Assistance: (877) 798-3752,12,NA,NA,NA
25,25,Arizona,Quartzsite AZ Supercharger, 1451 West Main St Quartzsite AZ 85346, Roadside Assistance: (877) 798-3752,8,33.6607781,-114.2417203,establishment
26,26,Arizona,Scottsdale AZ - N. Scottsdale Road Supercharger, 15059 N. Scottsdale Rd Scottsdale AZ 85254-2421, Roadside Assistance: (877) 798-3752,16,33.6232755,-111.9230919,establishment
27,27,Arizona,Sedona AZ Supercharger, 7000 AZ-179 Sedona AZ 86351, Roadside Assistance: (877) 798-3752,14,34.8697395,-111.7609896,locality
28,28,Arizona,Tucson AZ - East Skyline Drive Supercharger, 2905 East Skyline Drive Tucson AZ 85718, Roadside Assistance: (877) 798-3752,10,32.3227174,-110.920113,route
29,29,Arizona,Tucson AZ Supercharger, 9255 S Rita Rd Tucson AZ 85747, Roadside Assistance: (877) 798-3752,10,32.0842871,-110.8036261,establishment
30,30,Arizona,Wickenburg AZ Supercharger, 155 N Tegner Wickenburg AZ 85390, Roadside Assistance: (877) 798-3752,6,33.9702356,-112.7314863,establishment
31,31,Arizona,Willcox AZ Supercharger, 1251 Virginia Avenue Willcox 85643-1022, Roadside Assistance: (877) 798-3752,8,32.2697597,-109.8456809,establishment
32,32,Arizona,Yuma AZ Supercharger, 310 N Madison Ave Yuma AZ 85364, Roadside Assistance: (877) 798-3752,8,32.6926512,-114.6276916,locality
33,33,Arkansas,Arkadelphia AR Tesla Supercharger, Arkadelphia AR ,,NA,34.6614277,-92.4102877,establishment
34,34,Arkansas,Bentonville AR Tesla Supercharger ,Bentonville AR ,,NA,37.0488871,-94.4753951,establishment
35,35,Arkansas,Blytheville AR Tesla Supercharger, Blytheville AR ,,NA,42.2955615,-73.2393218,establishment
36,36,Arkansas,Clarksville AR Tesla Supercharger, Clarksville AR ,,NA,36.3525157,-94.1715774,establishment
37,37,Arkansas,Forrest City AR Tesla Supercharger, Forrest City AR ,,NA,35.0081474,-90.7898342,locality
38,38,Arkansas,Fort Smith AR Tesla Supercharger, Fort Smith AR ,,NA,36.1676087,-95.7659662,establishment
39,39,Arkansas,Little Rock Supercharger, 11201 Bass Pro Parkway Little Rock AR, Roadside Assistance: (877) 798-3752,10,34.6614277,-92.4102877,establishment
40,40,California,Adin CA Tesla Supercharger, Adin CA ,,NA,41.3101262,-122.3175028,establishment
41,41,California,Alameda CA Tesla Supercharger, Alameda CA ,,NA,37.5582362,-122.2844162,establishment
42,42,California,Almaden CA Tesla Supercharger, Almaden CA ,,NA,37.0244042,-121.5653015,establishment
43,43,California,Anaheim CA Tesla Supercharger, Anaheim CA ,,NA,33.8636442,-117.9905884,car_dealer
44,44,California,Antioch CA Tesla Supercharger, Antioch CA ,,NA,NA,NA,NA
45,45,California,Atascadero CA Supercharger, 6950 El Camino Real Atascadero CA 93422, Roadside Assistance: (877) 798-3752,8,35.4863681,-120.6656,establishment
46,46,California,Baker, CA Supercharger 71808 Baker Blvd Baker CA 92309-0000, Roadside Assistance: (877) 798-3752,40,35.2675155,-116.0739073,locality
47,47,California,Bakersfield Supercharger, 29541 Stockdale Hwy Bakersfield CA 93314, Roadside Assistance: (877) 798-3752,10,NA,NA,NA
48,48,California,Bakersfield CA Tesla Supercharger, Bakersfield CA ,,NA,35.3546585,-119.3316814,establishment
49,49,California,Barstow Supercharger, 2812 Lenwood Road Barstow CA 92311, Roadside Assistance: (877) 798-3752,16,34.8491478,-117.0854117,establishment
