S.NO,Localities,Addresses,PointofContact,ChargingSlots
1,22 Lupfer Avenue,"22 Lupfer AveWhitefish, Montana 59937","Phone (406) 272-3563

                                                    ","Charging
2 Tesla Connectors"
2,1 Hotel Brooklyn Bridge,"60 Furman StBrooklyn, New York 11201","Phone (877) 803-1111

                                                   ","Charging
5 Tesla Connectors"
3,1 Hotel South Beach,"2341 Collins AveMiami Beach, FL 33139","Phone (305) 604-1000

                                                   ","Charging
3 Tesla Connectors"
4,101 California Street Garage,"101 California StSan Francisco, California 94111","Phone (415) 398-8655

                                                   ","Charging
2 Tesla Connectors"
5,101 Second Street Garage,"101 Second St.San Francisco, CA 94111","Phone (415) 546-0572

                                                   ","Charging
2 Tesla Connectors"
6,1345 Parking Garage,"1345 6th AveNew York, New York 10105","Phone (212) 245-8708

                                                   ","Charging
2 Tesla Connectors"
7,1600 Vine Parking Garage,"1600 Vine StLos Angeles, CA 90028","Phone (866) 699-1501

                                                   ","Charging
2 Tesla Connectors"
8,1825 Inn Bed and Breakfast,"409 S Lingle AvePalmyra, PA 17078","Phone (717) 838-8282

                                                   ","Charging
1 Tesla Connector"
9,"1842 Inn, a Select Registry Property","353 College StMacon, GA 31201","Phone (478) 741-1842

                                                   ","Charging
1 Tesla Connector"
10,"1906 Pine Crest Inn, a Select Registry Property","85 Pine Crest LnTryon, NC 28782","Phone (800) 633-3001

                                                   ","Charging
1 Tesla Connector"
11,200 Main,"200 Main StHighlands, NC 28741","Phone (855) 271-2809

                                                   ","Charging
1 Tesla Connector"
12,21 Main at North Beach,"719 North Beach BlvdNorth Myrtle Beach, SC 29582","Phone (843) 315-3000

                                                   ","Charging
1 Tesla Connector"
13,21c Hotel Bentonville,"200 NE A StBentonville, AR 72712","Phone (479) 286-6500

                                                   ","Charging
2 Tesla Connectors"
14,21c Hotel Cincinnati,"609 Walnut StCincinnati, OH 45202","Phone (513) 578-6600

                                                   ","Charging
2 Tesla Connectors"
15,21c Hotel Louisville,"700 W Main StLouisville, KY 40202","Phone (502) 217-6300

                                                   ","Charging
2 Tesla Connectors"
16,24 North Hotel,"3820 N Roosevelt BlvdKey West, FL 33040","Phone (305) 320-0940

                                                   ","Charging
2 Tesla Connectors"
17,250 Main Hotel,"250 Main StRockland, Maine 04841","Phone (207) 594-5994

                                                   ","Charging
2 Tesla Connectors"
