S.No,State,Locality,Directions,Assistance ,No.of Slots
1,Alabama,AthensAL Supercharger, 21282 Athens-Limestone Blvd Athens AL, Roadside Assistance: (877) 798-3752,8
2,Alabama,Auburn Alabama Supercharger, 1627 Opelika Road Auburn AL 36830, Roadside Assistance: (877) 798-3752,6
3,Alabama,Birmingham AL Supercharger, 2221 Richard Arrington Junior Blvd Birmingham AL 35203-1103, Roadside Assistance: (877) 798-3752,8
4,Alabama,Dothan AL Tesla Supercharger, Dothan AL ,,
5,Alabama,Greenville Supercharger, 219 Interstate Drive Greenville AL 36037, Roadside Assistance: (877) 798-3752,6
6,Alabama,Mobile Supercharger, 3201 Airport Blvd Mobile AL 36606, Roadside Assistance: (877) 798-3752,8
7,Alabama,Montgomery AL Tesla Supercharger, Montgomery AL ,,
8,Alabama,Oxford AL Supercharger, 1105 Oxford Exchange Blvd Oxford AL 36203-0000, Roadside Assistance: (877) 798-3752,12
9,Alabama,Steele Supercharger, 905 Steele Station Road Steele AL 35987, Roadside Assistance: (877) 798-3752,8
10,Alabama,Tuscaloosa AL Tesla Supercharger, Tuscaloosa AL ,,
11,Arizona,Buckeye AZ Supercharger, 416 S Watson Rd Buckeye AZ 85326, Roadside Assistance: (877) 798-3752,8
12,Arizona,Casa Grande AZ Supercharger, 2453 E. Florence Blvd. Casa Grande AZ 85194, Roadside Assistance: (877) 798-3752,6
13,Arizona,Cordes Lakes AZ Supercharger, 14925 Cordes Lakes Rd Mayer AZ 86333, Roadside Assistance: (877) 798-3752,8
14,Arizona,Flagstaff AZ Supercharger, 2650 South Beulah Blvd Flagstaff AZ 86001, Roadside Assistance: (877) 798-3752,12
15,Arizona,Gila Bend AZ Supercharger, 826 W Pima St. Gila Bend AZ 85337, Roadside Assistance: (877) 798-3752,8
16,Arizona,Globe AZ Tesla Supercharger, Globe AZ ,,
17,Arizona,Holbrook AZ Supercharger, 2096 Navajo Blvd Holbrook AZ 86025, Roadside Assistance: (877) 798-3752,4
18,Arizona,Kayenta AZ Tesla Supercharger, Kayenta AZ ,,
19,Arizona,Kingman AZ Supercharger, 789 W Beale St Kingman AZ 86401, Roadside Assistance: (877) 798-3752,6
20,Arizona,Page Supercharger, 600 Clubhouse Drive Page AZ 86040, Roadside Assistance: (877) 798-3752,8
21,Arizona,Payson AZ Tesla Supercharger, Payson AZ ,,
